date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:18	21725/21725	---M-Z	200	added ('OK')	text/html	etag:W/%22639afef6-54dd%22	https://themewagon.github.io/finanza/service.html	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/service.html	(from https://themewagon.github.io/finanza/)
19:42:19	12727/12727	---M-Z	200	added ('OK')	text/html	etag:W/%22639afef6-31b7%22	https://themewagon.github.io/finanza/project.html	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/project.html	(from https://themewagon.github.io/finanza/)
19:42:19	13621/13621	---M-Z	200	added ('OK')	text/html	etag:W/%22639afef6-3535%22	https://themewagon.github.io/finanza/team.html	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/team.html	(from https://themewagon.github.io/finanza/)
19:42:20	13692/13692	---M-Z	200	added ('OK')	text/html	etag:W/%22639afef6-357c%22	https://themewagon.github.io/finanza/feature.html	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/feature.html	(from https://themewagon.github.io/finanza/)
19:42:20	13874/13874	---M-Z	200	added ('OK')	text/html	etag:W/%22639afef6-3632%22	https://themewagon.github.io/finanza/testimonial.html	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/testimonial.html	(from https://themewagon.github.io/finanza/)
19:42:20	11080/11080	---M-Z	200	added ('OK')	text/html	etag:W/%22639afef6-2b48%22	https://themewagon.github.io/finanza/404.html	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/404.html	(from https://themewagon.github.io/finanza/)
19:42:21	13771/13771	---M-Z	200	added ('OK')	text/html	etag:W/%22639afef6-35cb%22	https://themewagon.github.io/finanza/contact.html	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/contact.html	(from https://themewagon.github.io/finanza/)
19:42:25	49116/49116	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-bfdc%22	https://themewagon.github.io/finanza/img/carousel-1.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/carousel-1.jpg	(from https://themewagon.github.io/finanza/)
19:42:27	80117/80117	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-138f5%22	https://themewagon.github.io/finanza/img/carousel-2.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/carousel-2.jpg	(from https://themewagon.github.io/finanza/)
19:42:27	51395/51395	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-c8c3%22	https://themewagon.github.io/finanza/img/about.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/about.jpg	(from https://themewagon.github.io/finanza/)
19:42:30	36720/36720	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-8f70%22	https://themewagon.github.io/finanza/img/service-1.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/service-1.jpg	(from https://themewagon.github.io/finanza/)
19:42:30	33877/33877	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-8455%22	https://themewagon.github.io/finanza/img/service-2.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/service-2.jpg	(from https://themewagon.github.io/finanza/)
19:42:32	24170/24170	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-5e6a%22	https://themewagon.github.io/finanza/img/service-3.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/service-3.jpg	(from https://themewagon.github.io/finanza/)
19:42:33	42482/42482	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-a5f2%22	https://themewagon.github.io/finanza/img/service-4.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/service-4.jpg	(from https://themewagon.github.io/finanza/)
19:42:33	26022/26022	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-65a6%22	https://themewagon.github.io/finanza/img/team-1.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/team-1.jpg	(from https://themewagon.github.io/finanza/)
19:42:33	18900/18900	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-49d4%22	https://themewagon.github.io/finanza/img/team-2.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/team-2.jpg	(from https://themewagon.github.io/finanza/)
19:42:34	23432/23432	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-5b88%22	https://themewagon.github.io/finanza/img/team-3.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/team-3.jpg	(from https://themewagon.github.io/finanza/)
19:42:35	4686/4686	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-124e%22	https://themewagon.github.io/finanza/img/testimonial-1.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/testimonial-1.jpg	(from https://themewagon.github.io/finanza/)
19:42:35	3916/3916	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-f4c%22	https://themewagon.github.io/finanza/img/testimonial-2.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/testimonial-2.jpg	(from https://themewagon.github.io/finanza/)
19:42:35	5071/5071	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-13cf%22	https://themewagon.github.io/finanza/img/testimonial-3.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/testimonial-3.jpg	(from https://themewagon.github.io/finanza/)
19:42:35	5527/5527	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-1597%22	https://themewagon.github.io/finanza/img/testimonial-4.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/testimonial-4.jpg	(from https://themewagon.github.io/finanza/)
19:42:37	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/code.jquery.com/jquery-3.4.1.min.js	(from https://themewagon.github.io/finanza/)
19:42:38	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/finanza/)
19:42:38	8156/8156	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639afef6-1fdc%22	https://themewagon.github.io/finanza/lib/wow/wow.min.js	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/lib/wow/wow.min.js	(from https://themewagon.github.io/finanza/)
19:42:38	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639afef6-8fe%22	https://themewagon.github.io/finanza/lib/easing/easing.min.js	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/lib/easing/easing.min.js	(from https://themewagon.github.io/finanza/)
19:42:38	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639afef6-2344%22	https://themewagon.github.io/finanza/lib/waypoints/waypoints.min.js	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/lib/waypoints/waypoints.min.js	(from https://themewagon.github.io/finanza/)
19:42:39	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639afef6-a70e%22	https://themewagon.github.io/finanza/lib/owlcarousel/owl.carousel.min.js	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/lib/owlcarousel/owl.carousel.min.js	(from https://themewagon.github.io/finanza/)
19:42:39	2406/2406	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639afef6-966%22	https://themewagon.github.io/finanza/lib/counterup/counterup.min.js	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/lib/counterup/counterup.min.js	(from https://themewagon.github.io/finanza/)
19:42:39	2499/2499	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639afef6-9c3%22	https://themewagon.github.io/finanza/js/main.js	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/js/main.js	(from https://themewagon.github.io/finanza/)
19:42:44	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
19:42:45	4976/4976	---M--	200	added ('OK')	image/png	etag:%22639afef6-1370%22	https://themewagon.github.io/finanza/lib/owlcarousel/assets/owl.video.play.png	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/lib/owlcarousel/assets/owl.video.play.png	(from https://themewagon.github.io/finanza/lib/owlcarousel/assets/owl.carousel.min.css)
19:42:49	33629/33629	---M--	200	added ('OK')	image/jpeg	etag:%22639afef6-835d%22	https://themewagon.github.io/finanza/img/header.jpg	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/header.jpg	(from https://themewagon.github.io/finanza/css/style.css)
19:42:50	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
19:42:53	56924/56924	---M--	200	added ('OK')	image/png	etag:%22639afef6-de5c%22	https://themewagon.github.io/finanza/img/bg.png	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/bg.png	(from https://themewagon.github.io/finanza/css/style.css)
19:42:53	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
